title,num_reviews,num_wishlisted,area,price,tags,bio,review_title,review_desc,review_image
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Banana Prata,"What I like about their prata is that they happens to get both its prata and curries done well. I find their prata a bit thinner than others which is exactly how I love my prata to be less doughy type. Their prata is light crispy, slightly chewy, fluffy at the same time and not overly oily too. Choices here include Plain Prata, Double Egg Prata, Egg Cheese Prata, Mushroom Prata, Egg Onion Chilli Prata to more fanciful one like Prata with Banana & Cheese. They also serves up a wide variety of Indian-Muslim food from Briyani, Mee Goreng, Nasi Goreng, Mee Hoon Goreng, Maggie Goreng, Kway Teow Mutton, Roti John, Murtabak, Dosai etc.
Banana Prata
The banana added a light sweet contrast that didn’t overwhelm.",https://burpple-1.imgix.net/foods/1672677106_review_image1959022_original.?w=20&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Double Egg Prata,"What I like about their prata is that they happens to get both its prata and curries done well. I find their prata a bit thinner than others which is exactly how I love my prata to be less doughy type. Their prata is light crispy, slightly chewy, fluffy at the same time and not overly oily too. Choices here include Plain Prata, Double Egg Prata, Egg Cheese Prata, Mushroom Prata, Egg Onion Chilli Prata to more fanciful one like Prata with Banana & Cheese. They also serves up a wide variety of Indian-Muslim food from Briyani, Mee Goreng, Nasi Goreng, Mee Hoon Goreng, Maggie Goreng, Kway Teow Mutton, Roti John, Murtabak, Dosai etc.
Double Egg Prata
Experience an explosion of flavours in every bite. After the aroma of egg comes the bold accompanying curry sauce that is so robust in flavour.",https://burpple.imgix.net/foods/1672676938_review_image1959021_original.?w=420&dpr=1&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Fried Prata,"Kothu Prata Special (S$6)
Fried prata with green chillies, onion, egg
Served with mutton curry
Khairun Miyah Indian Muslim Food
Address 🛖 : Chang Cheng Mee Wah Coffeeshop, Blk 201C Tampines Street 21, Singapore 🇸🇬 523 201",https://burpple-1.imgix.net/foods/1664858022_review_image1952143_original.?w=420&dpr=1&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Crispy Prata,"Ordered 2 kosong pratas (S$2.60). This stall is known for their crispy prata It's freshly made served hot, and goes really well with curry. One of the best if you like paper thin crispy type. The center part was soft and chewy.
Recommended 👍
📍Location:
Khairun Miyah Indian Muslim Food
Chang Cheng Food Court
201C Tampines St. 21
Singapore 523201",https://burpple-1.imgix.net/foods/1664180581_review_image1951520_original.?w=420&dpr=1&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,1 egg 1 kosong for SGD3.30!,"Probably the crispest prata I had in Tampines! Both prata had the right balance of crisp and chewiness, which went superbly well with their curries. The owner was kind enough to serve us 2 different curry at first - fish & mutton. When I ordered 2 more kosong prata, he passed me some chicken curry to try too. YAY!
Can’t wait to be back again to have more prata and try their other dishes too!",https://burpple-2.imgix.net/foods/1655137240_review_image1941529_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Fish,"It is grilled fish in the soup of few choices. This is the green peppers flavor. Realy delicious. But i personally prefer another brand, will post about it when i got the chance. You may try this cuz everyone's taste are different. #grilled #fish #singapore",https://burpple-2.imgix.net/foods/1678109505_review_image1963295_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,[✨NEW✨] Spicy Dry Pot Fish Fillet,"This spicy dry boneless fish fillet is one of the new flavours! Received many compliments from the table 🔥
We got this as part of the weekday executive lunch set that comes with an individual portion of fish, rice and drink. That being said, we did find the serving size to be very generous so you can also consider ordering this to share!",https://burpple-1.imgix.net/foods/1667834338_review_image1954704_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,[✨NEW ITEM✨] Hearty Set Meal with Generous Portions 🐟,"Tried the newly-launched executive set meal that comes with individual portion of boneless fish fillet, rice and soft drink. Each set is supposed to feed 1 person but honestly there was so much food it felt enough to easily feed 2 people. The classic Fresh Green Pepper Grilled Fish Fillet remains my favourite item at Tanyu, though I have to admit the new flavours were pretty good too!
📸 IG/Tiktok/FB: @myfoodframes",https://burpple-1.imgix.net/foods/1667831188_review_image1954698_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Cucumber with Minced Garlic,"If you’re still feeling peckish, get the cucumber with minced garlic 🥒 or mixed beancurd sticks for $2.90 only (with purchase of the newly-launched executive set meal) 💸",https://burpple.imgix.net/foods/1667830832_review_image1954697_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Jumbo Lemon and Lime Drink Tower($18.90),"(嚣张冰桔桶)
Loving this refreshing and thirst-quenching citrusy drink that helps cure the spicy flame within your throat. Definitely get the tower so can drink to your satisfaction. Take note to do a little stirring to avoid the sliced fruits blocking your flow passage at the tap exit.",https://burpple-1.imgix.net/foods/1661604639_review_image1948942_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Lamb($6.90/3 pcs),"(烤羊肉串/3串)
A rather normal spiced lamb skewer to chew on. Spice used were alright but the texture not so tender.",https://burpple.imgix.net/foods/1661604597_review_image1948941_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Oyster($7.80/pc),"(蒜蓉烤生蚝)
Big, plumpy & garlicky grilled oyster with glass noodles. A slurp of savouriness to please the tastebud.",https://burpple.imgix.net/foods/1661604559_review_image1948940_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Fish with Twelve Ingredients (contain beef)($46.90)😋🌶️🌶️🌶️,"Cold day therapy.🍲🌶😌
-
毛雪旺烤鱼 (内含牛)
Comes with Winter melon, Seaweed, Tripe, Aorta, Black Fungus, Potato, Sweet Potato Noodles, Luncheon Meat, Cherry Tomato, Yellow Beansprout, Cucumber slices and Beancurd skin
A cure of wonder, a medicine to the chill. Ahh... Yes, warming up from the spiciest pot from @tanyu_sg where one not only gets to savour the succulent boneless huge limbo fish fillet, but also feast on the various ingredients that was soaked in the flaming pot.
I quite like the tender, soft and silky texture of the fish. It was easy to cut and there was no smelly fishy smell too. Ingredients were fresh and neatly prepared.
.
🚩探鱼 - TANYU, 10 Tampines Central 1, 04-06/07/08, Singapore 529536
.
.
.
#mehmehfoodventure #mehlicious #tastisfying #foodie #sgfoodie #sgfoodblogger #foodblogger #foodblog #foodcoma #burpple #burpplesg #sgfood #foodsg #foodinsing #sgeats #eatmoresg #tanyu #烤鱼 #探鱼 #grilledfish #grilledfishwithtwelveingredients #spicyfish #limbofish #grilledlamb #grilledoyster #jumbolemonandlimedrinktower",https://burpple-2.imgix.net/foods/1661604465_review_image1948939_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Mantou,"Tanyu's mantous were some of the biggest that we have seen, so order on the basis of one per person at most! However, we liked that they were served really warm with a crisp exterior and a rather fluffy interior. 😋 Be sure to pair the fried mantou with the condensed milk because while the plain mantou tastes decent, adding the condensed milk gives it an additional layer of sweetness and makes it a great appetiser! Given the size, paying $5.50++ per mantou is pretty good value.
The Tanyu outlet at Tampines 1 was surprisingly empty on a weekday evening and there wasn't a queue at all. Definitely a big contrast to the outlet at Orchard where there's perpetually a long queue for a table.",https://burpple-2.imgix.net/foods/1657298552_review_image1944094_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Double Taste Rice Cake ($7.80++),Similar to how Filipinos usually prep CNY rice cakes - deep-fried with crusty skin while remaining very soft and chewy inside. It has some sweet syrup drizzled on top. Loved this dish,https://burpple-3.imgix.net/foods/1653353144_review_image1939599_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Eggplant ($5.50++),"One of the notable sides we got from Tan Yu. The eggplant is topped with minced garlic. The toppings pushed the dish to the salty/spicy side, but actually good for appetizer as it wakes up the palate",https://burpple-1.imgix.net/foods/1653353041_review_image1939598_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Qingjiang Grilled Fish with Fresh Green Pepper ($49.90++),"Before you get seated in the restaurant, you can already smell the appetizing aroma (which actually sticks to your hair lol). Being a newbie to this type of grilled fish cooking, it made me really excited and wanted to dig in immediately
With just 2 levels of spiciness indicated on the menu for our selected dish, my expectations were low, and boy was I wrong lol - I wasn’t prepared to have my mouth numb (my spice/numbness tolerance is not that high lol). The dish came in on a big hot pot with butterflied fish and green peppers & peppercorns on top. I tasted the broth by itself immediately (just shows how much I was enticed by it) hence the numbness lol - but it was good. Not too salty, nor too spicy. It could be a bit rich as it boils (we had to remove some peppers)
Enjoyed the fish a lot - quite plump, tender and smooth, very easy to debone. Fish with the broth + rice is 👌🏻 We have ordered the Golden Combination ($13.90++) as well consisting of Golden Mushroom, Potato, Lotus Root, Crab Stick/Luncheon Meat, plus a whole lot of other add-ons (at $3.90++ each) as our sides - helped to absorb the richness of the broth and fill us up
Keen to have this dish again 💕
———
📍探鱼 - TANYU Tampines 1
10 Tampines Central 1, #04-06/07/08, Singapore 529536
#tanyu #grilledfish #burpplesg",https://burpple.imgix.net/foods/1652244352_review_image1938533_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Limbo fish with green peppers,"Love the fish! It was very tender, juicy and meaty. Not really spicy but could definitely feel the numbness while eating. I am not a fan of the sauce though, guess I am just not used to such distinct unique taste.",https://burpple-3.imgix.net/foods/1650601072_review_image1936673_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Eggplant,"Looks like a slab of meat but this is actually grilled eggplant! The exterior has been grilled to the point where it is a little charred and hard, yet the insides are still warm and soft. The top of the dish was garnished with garlic, giving the dish a nice fragrance. Pretty affordable appetiser for around $5++!
Tan Yu has numerous other grilled/barbequed items that we would be keen to try out in future, including the grilled mushrooms and roasted lamb skewers! 😋",https://burpple-1.imgix.net/foods/2f33ba123d392355b70e1934580_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Sticky Rice Cake With Black Sesame,"This was our first time ordering the Double Taste Rice Cake at Tan Yu. This was an appetiser which comprised a layer of rice cake and a layer of black sesame paste, fried to give the pastry a crispy exterior as well as a warm and soft filling. The rice cakes were drizzled with a slightly-sweet sauce, which was great as it ensured the rice cake layer did not taste too plain.
We shared the rice cakes amongst three of us and the serving was just right. You may not want to order this if you are a small eater because the rice cake layer can get pretty filling. For $7.80++, it is priced quite affordably and we encourage you to try it because it is not a very common dish found in Singapore!",https://burpple-2.imgix.net/foods/2f33ba123d37b04695b61934577_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Limbo Fish With Green Pepper,"We were excited that Tan Yu has come to Tampines 1! The stall is famed for serving Sichuan-style spicy grilled fish and we were glad that there wasnt a long queue at this outlet, unlike their outlet at 313 Somerset which has perpetually long queues!
We ordered the signature grilled limbo fish with green pepper, as the gravy was only slightly spicy and we loved the rather strong dose of numbness that came with the peppercorn! We doused our rice with the gravy and it was really nice to eat with the fish, which was cooked really well with a crispy exterior, and no fishy taste/smell. 😋
For the ingredients, we added beancurd tofu, enoki mushrooms and potatoes! Do be sure to eat the potatoes first because they tend to ""dissolve"" into the gravy if you leave them in the broth for too long, hence wasting them!
While the price of the fish is pretty steep at $45++, it is more than enough to be shared amongst 3 pax and the price per pax thus becomes very reasonable.",https://burpple-3.imgix.net/foods/2f33ba123d36470c20f41934576_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Corn,"Heartiest congratulations to @tanyu_sg on launching their 4th outlet, TANYU LAB, at Tampines 1! Easties, you’re in luck!
Famed for their grilled fish, @tanyu_sg needs no introduction. At their Tampines 1 outlet, you can expect a bigger space, nicer ambience and upgraded recipes.
Dishes that are exclusively available only at the Tampines 1 outlet are:
🦪Grilled Oyster with Minced Garlic 蒜蓉烤生蚝
🥢Noodles with chilli sauce 旋子凉粉
🍲Traditional Beancurd 古法鲜豆花
🍹Jumbo Lemon & Lime Drink 嚣张冰桔桶
Be sure to catch these exclusive dishes the next time you’re there for their TAN-talizing grilled fishes!",https://burpple.imgix.net/foods/3246d3390c9e9bf842bc1928612_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Scallops with Minced Garlic,"Heartiest congratulations to @tanyu_sg on launching their 4th outlet, TANYU LAB, at Tampines 1! Easties, you’re in luck!
Famed for their grilled fish, @tanyu_sg needs no introduction. At their Tampines 1 outlet, you can expect a bigger space, nicer ambience and upgraded recipes.
Dishes that are exclusively available only at the Tampines 1 outlet are:
🦪Grilled Oyster with Minced Garlic 蒜蓉烤生蚝
🥢Noodles with chilli sauce 旋子凉粉
🍲Traditional Beancurd 古法鲜豆花
🍹Jumbo Lemon & Lime Drink 嚣张冰桔桶
Be sure to catch these exclusive dishes the next time you’re there for their TAN-talizing grilled fishes!",https://burpple.imgix.net/foods/3246d3390c9e8e9a93e41928611_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Double Taste Rice Cake,"Heartiest congratulations to @tanyu_sg on launching their 4th outlet, TANYU LAB, at Tampines 1! Easties, you’re in luck!
Famed for their grilled fish, @tanyu_sg needs no introduction. At their Tampines 1 outlet, you can expect a bigger space, nicer ambience and upgraded recipes.
Dishes that are exclusively available only at the Tampines 1 outlet are:
🦪Grilled Oyster with Minced Garlic 蒜蓉烤生蚝
🥢Noodles with chilli sauce 旋子凉粉
🍲Traditional Beancurd 古法鲜豆花
🍹Jumbo Lemon & Lime Drink 嚣张冰桔桶
Be sure to catch these exclusive dishes the next time you’re there for their TAN-talizing grilled fishes!",https://burpple.imgix.net/foods/3246d3390c9e70808f781928609_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Fish with Soy Sauce,"Heartiest congratulations to @tanyu_sg on launching their 4th outlet, TANYU LAB, at Tampines 1! Easties, you’re in luck!
Famed for their grilled fish, @tanyu_sg needs no introduction. At their Tampines 1 outlet, you can expect a bigger space, nicer ambience and upgraded recipes.
Dishes that are exclusively available only at the Tampines 1 outlet are:
🦪Grilled Oyster with Minced Garlic 蒜蓉烤生蚝
🥢Noodles with chilli sauce 旋子凉粉
🍲Traditional Beancurd 古法鲜豆花
🍹Jumbo Lemon & Lime Drink 嚣张冰桔桶
Be sure to catch these exclusive dishes the next time you’re there for their TAN-talizing grilled fishes!",https://burpple-1.imgix.net/foods/3246d3390c9e3a2266101928608_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Signature Grilled Fish with Green Pepper,"Heartiest congratulations to @tanyu_sg on launching their 4th outlet, TANYU LAB, at Tampines 1! Easties, you’re in luck!
Famed for their grilled fish, @tanyu_sg needs no introduction. At their Tampines 1 outlet, you can expect a bigger space, nicer ambience and upgraded recipes.
Dishes that are exclusively available only at the Tampines 1 outlet are:
🦪Grilled Oyster with Minced Garlic 蒜蓉烤生蚝
🥢Noodles with chilli sauce 旋子凉粉
🍲Traditional Beancurd 古法鲜豆花
🍹Jumbo Lemon & Lime Drink 嚣张冰桔桶
Be sure to catch these exclusive dishes the next time you’re there for their TAN-talizing grilled fishes!",https://burpple-1.imgix.net/foods/3246d3390c9e2dab77f41928607_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Grilled Fish,"We ordered their signature fish with green peppers. Not a fan of spicy food, I shifted the green peppers to one side towards my husband. So my side was very managable in terms of spiciness.
The fish was huge and very meaty. But the gravy/sauce was really salty and it took quite a bit of veg, noodles and bean curd skin to balance out the saltiness. Only towards the end of our dining did I feel that my hair won't drop anymore :)
The waiters were kind and attentive. Nice ambience. Would definitely recommend this place to fish lovers who don't mind dropping their hair to taste good solid fish.",https://burpple-2.imgix.net/foods/3370ed2d7d5316cd4f881925712_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Tan Yu’s 4th Outlet at Tampines 1!,"Tan Yu’s 4th outlet TANYU LAB is now open at Tampines 1, and from now till 31 Dec 2021, you get to enjoy 22% off at this new outlet! And when you spend more than $120, you'll also get an exclusive Blind Box.
When it comes to their grilled fish, I always recommend going for the Limbo Fish with Fresh Green Pepper. The Limbo Fish is fresh and very tender, while the fresh green pepper adds that spicy oomph and numbing kick to the broth. It’s really appetising, and you might want to get extra bowls of rice to eat with the broth!
For sides, you could do well to get the Double Taste Rice Cake (crispy and QQ), Chongqing Cold Noodle w/ Shredded Chicken (very mouthwatering!), Grilled Oyster w/ Minced Garlic (quite savoury!) and the Fried Mantou (goes so well with the condensed milk!).
To cut through the rich food, get their refreshing Jumbo Lemon & Lime Drink. End the meal off with something to reminisce your childhood with: Malt Candy!
The new outlet is bright, spacious, and done up in vivid orange hues to match their logo. We also liked that the food standard here is as consistent as their other outlets.
📍TANYU LAB
#04/06-08, Tampines 1, 10 Tampines Central 1, Singapore 529536",https://burpple-2.imgix.net/foods/23a957ed8355c9bded21924106_original.?w=20&fit=crop&q=80&auto=format
Tanyu (Tampines 1),24 REVIEWS,11 WISHLISTED,Tampines,~$30/pax,"Rainy Day Comforts
Seafood
Chinese
Delivery",探鱼,Skewers,"Heartiest congratulations to @tanyu_sg on launching their 4th outlet, TANYU LAB, at Tampines 1! Easties, you’re in luck!
Famed for their grilled fish, @tanyu_sg needs no introduction. At their Tampines 1 outlet, you can expect a bigger space, nicer ambience and upgraded recipes.
Dishes that are exclusively available only at the Tampines 1 outlet are:
🦪Grilled Oyster with Minced Garlic 蒜蓉烤生蚝
🥢Noodles with chilli sauce 旋子凉粉
🍲Traditional Beancurd 古法鲜豆花
🍹Jumbo Lemon & Lime Drink 嚣张冰桔桶
Be sure to catch these exclusive dishes the next time you’re there for their TAN-talizing grilled fishes!",https://burpple.imgix.net/foods/3246d3390c9e77891fba1928610_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Subway (Tampines 1),3 REVIEWS,1 WISHLISTED,Tampines,~$10/pax,"Sandwiches
Fast Food
Halal",,[NEW] Pandan Cookie ($1.50),"NDP Special
.
Made with coconut flakes, desiccated coconut, pandan flavouring, vanilla and almond
.",https://burpple-3.imgix.net/foods/2feec06fb31f9ab6eac81906687_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Subway (Tampines 1),3 REVIEWS,1 WISHLISTED,Tampines,~$10/pax,"Sandwiches
Fast Food
Halal",,Pineapple Cookie 🍪 Subway too has seasonal cookie!,"Although too sweet, I like how they executed the mixture of fibrous pineapple and their cookie dough with slightly tart flavour as you chew. Definitely, not the traditional pineapple cookie yet good enough for the intention of innovation. 😉
#burpple #cookie #subway",https://burpple.imgix.net/foods/53e012b8102beca7f401487824_original.?w=420&dpr=1&fit=crop&q=80&auto=format
